Meta 3: Desempenho
Categorias,1995,1997,1999,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019,2021
Meta,,,,,,,"14,1","17,9","25,4","37,1","45,4",54,"62,3",70
Brasil,"16,8","16,7","13,2","13,4","14,7",13,"14,3","14,8","16,9","16,4","18,2",,,
